,Opentime,Close,MA1,MA2
853,1653340500000,0.07993,,
854,1653341400000,0.07982,,
855,1653342300000,0.08023,,
856,1653343200000,0.0796,,
857,1653344100000,0.07825,,
858,1653345000000,0.07803,,
859,1653345900000,0.07762,,
860,1653346800000,0.07683,,
861,1653347700000,0.0767,,
862,1653348600000,0.07617,,
863,1653349500000,0.07616,,
864,1653350400000,0.07701,,
865,1653351300000,0.0772,,
866,1653352200000,0.07678,,
867,1653353100000,0.07642,,
868,1653354000000,0.07634,,
869,1653354900000,0.07603,,
870,1653355800000,0.0762,,
871,1653356700000,0.07669,,
872,1653357600000,0.07651,,
873,1653358500000,0.07698,,
874,1653359400000,0.07723,,
875,1653360300000,0.07749,,
876,1653361200000,0.07753,,
877,1653362100000,0.07745,,
878,1653363000000,0.07746,,
879,1653363900000,0.07759,,
880,1653364800000,0.07744,,
881,1653365700000,0.07757,,
882,1653366600000,0.07785,,
883,1653367500000,0.07786,,
884,1653368400000,0.0781,,
885,1653369300000,0.07858,,
886,1653370200000,0.07838,,
887,1653371100000,0.07834,,
888,1653372000000,0.07774,,
889,1653372900000,0.07821,,
890,1653373800000,0.07779,,
891,1653374700000,0.07797,,
892,1653375600000,0.07835,,
893,1653376500000,0.07847,,
894,1653377400000,0.0781,,
895,1653378300000,0.07833,,
896,1653379200000,0.07796,,
897,1653380100000,0.07778,,
898,1653381000000,0.07747,,
899,1653381900000,0.0776,,
900,1653382800000,0.07906,,
901,1653383700000,0.07996,,
902,1653384600000,0.08012,,
903,1653385500000,0.08091,,
904,1653386400000,0.08102,,
905,1653387300000,0.08133,,
906,1653388200000,0.08194,,
907,1653389100000,0.08252,,
908,1653390000000,0.08157,,
909,1653390900000,0.08155,,
910,1653391800000,0.08131,,
911,1653392700000,0.08112,,
912,1653393600000,0.08074,,
913,1653394500000,0.08054,,
914,1653395400000,0.08073,,
915,1653396300000,0.08067,,
916,1653397200000,0.08043,,
917,1653398100000,0.08029,,
918,1653399000000,0.08073,,
919,1653399900000,0.07995,,
920,1653400800000,0.07966,,
921,1653401700000,0.08,,
922,1653402600000,0.08014,,
923,1653403500000,0.08034,,
924,1653404400000,0.08131,,
925,1653405300000,0.0825,,
926,1653406200000,0.08198,,
927,1653407100000,0.08201,,
928,1653408000000,0.0819,,
929,1653408900000,0.08096,,
930,1653409800000,0.08145,,
931,1653410700000,0.08182,,
932,1653411600000,0.08147,,
933,1653412500000,0.08236,,
934,1653413400000,0.08223,,
935,1653414300000,0.08225,,
936,1653415200000,0.08252,,
937,1653416100000,0.08201,,
938,1653417000000,0.08153,,
939,1653417900000,0.08146,,
940,1653418800000,0.0815,,
941,1653419700000,0.08052,,
942,1653420600000,0.08138,,
943,1653421500000,0.08189,,
944,1653422400000,0.08138,,
945,1653423300000,0.08152,,
946,1653424200000,0.0813,,
947,1653425100000,0.08123,,
